"business_id","Score","date","type"
496,"92","20110523","routine"
499,"90","20120831","routine"
499,"82","20110825","routine"
499,"86","20110104","routine"
500,"72","20130110","routine"
500,"89","20120608","routine"
500,"81","20120124","routine"
500,"68","20110928","routine"
500,"100","20110201","routine"
500,"91","20100625","routine"
502,"92","20121116","routine"
502,"94","20120430","routine"
502,"100","20111028","routine"
502,"100","20110428","routine"
503,"92","20120530","routine"
503,"94","20111101","routine"
503,"96","20110427","routine"
503,"90","20101208","routine"
505,"98","20130204","routine"
505,"88","20120620","routine"
505,"98","20111107","routine"
505,"84","20110518","routine"
505,"82","20100928","routine"
507,"100","20130102","routine"
507,"96","20120727","routine"
507,"98","20111114","routine"
507,"92","20110523","routine"
507,"94","20101025","routine"
508,"100","20130206","routine"
508,"100","20120726","routine"
508,"98","20120109","routine"
508,"100","20110811","routine"
508,"100","20110328","routine"
508,"100","20101020","routine"
509,"85","20130506","routine"
509,"89","20121029","routine"
509,"83","20120412","routine"
509,"92","20111013","routine"
509,"92","20110602","routine"
509,"88","20101213","routine"
509,"90","20100525","routine"
510,"85","20130501","routine"
510,"92","20120829","routine"
510,"88","20120305","routine"
510,"87","20110902","routine"
510,"84","20110421","routine"
510,"82","20100809","routine"
515,"96","20130425","routine"
515,"100","20120807","routine"
515,"88","20120105","routine"
515,"86","20110512","routine"
519,"92","20130111","routine"
519,"96","20120412","routine"
519,"92","20110628","routine"
519,"92","20101209","routine"
520,"83","20120727","routine"
520,"90","20110906","routine"
520,"72","20110325","routine"
521,"83","20121204","routine"
521,"92","20120613","routine"
521,"89","20110920","routine"
521,"94","20110325","routine"
521,"84","20100812","routine"
522,"100","20121017","routine"
522,"91","20120202","routine"
522,"96","20110720","routine"
522,"98","20110125","routine"
527,"83","20130110","routine"
527,"80","20120131","routine"
527,"88","20110427","routine"
527,"90","20101112","routine"
527,"77","20100721","routine"
529,"94","20120924","routine"
529,"94","20120214","routine"
529,"94","20110127","routine"
529,"100","20101019","routine"
538,"86","20130212","routine"
538,"83","20120709","routine"
538,"78","20120109","routine"
538,"72","20110621","routine"
538,"66","20110216","routine"
539,"100","20130315","routine"
539,"91","20120913","routine"
539,"87","20120307","routine"
539,"92","20111006","routine"
539,"92","20100831","routine"
542,"85","20121129","routine"
542,"96","20120229","routine"
542,"94","20110425","routine"
542,"94","20100920","routine"
542,"90","20100623","routine"
544,"88","20121220","routine"
544,"96","20120123","routine"
544,"100","20110406","routine"
544,"100","20101012","routine"
547,"98","20121206","routine"
547,"98","20120611","routine"
547,"90","20120109","routine"
547,"94","20110427","routine"
547,"87","20101117","routine"
549,"96","20121031","routine"
549,"100","20120320","routine"
549,"100","20110524","routine"
549,"100","20101015","routine"
551,"98","20120814","routine"
551,"96","20110729","routine"
551,"94","20100922","routine"
552,"83","20121016","routine"
552,"88","20120313","routine"
552,"77","20110811","routine"
552,"71","20110310","routine"
552,"63","20101025","routine"
557,"92","20130214","routine"
557,"100","20110720","routine"
557,"96","20110302","routine"
557,"90","20100909","routine"
558,"88","20130508","routine"
558,"94","20120621","routine"
558,"91","20110414","routine"
558,"98","20101021","routine"
560,"98","20130326","routine"
560,"92","20120620","routine"
560,"96","20110906","routine"
560,"96","20110126","routine"
562,"93","20130328","routine"
562,"100","20121015","routine"
562,"100","20120404","routine"
562,"91","20111031","routine"
562,"100","20100901","routine"
563,"83","20130319","routine"
563,"86","20120828","routine"
563,"74","20120210","routine"
563,"66","20111004","routine"
563,"69","20110314","routine"
563,"79","20100706","routine"
567,"94","20130301","routine"
567,"100","20120427","routine"
567,"90","20110927","routine"
567,"92","20110321","routine"
567,"96","20101013","routine"
573,"96","20120504","routine"
573,"82","20110413","routine"
580,"98","20121024","routine"
580,"93","20120411","routine"
580,"96","20111026","routine"
580,"100","20110419","routine"
580,"96","20101007","routine"
581,"85","20130123","routine"
581,"96","20111129","routine"
581,"94","20110614","routine"
581,"96","20100715","routine"
587,"84","20130221","routine"
587,"84","20111003","routine"
587,"63","20110214","routine"
588,"96","20120918","routine"
588,"76","20120223","routine"
588,"90","20110808","routine"
588,"90","20110224","routine"
588,"64","20100823","routine"
589,"90","20130506","routine"
589,"92","20120925","routine"
589,"74","20120409","routine"
589,"84","20111013","routine"
589,"86","20110602","routine"
589,"88","20101213","routine"
589,"90","20100525","routine"
590,"92","20120926","routine"
590,"90","20110727","routine"
590,"86","20101216","routine"
591,"90","20121218","routine"
591,"92","20111026","routine"
591,"84","20110427","routine"
595,"68","20130130","routine"
595,"82","20111121","routine"
595,"78","20110517","routine"
597,"89","20121005","routine"
597,"100","20120316","routine"
597,"96","20110603","routine"
597,"92","20100910","routine"
601,"94","20121126","routine"
601,"94","20120426","routine"
601,"88","20111102","routine"
601,"98","20110628","routine"
601,"70","20110412","routine"
601,"92","20101214","routine"
606,"90","20130409","routine"
606,"92","20120928","routine"
606,"96","20120217","routine"
606,"92","20110504","routine"
606,"94","20100820","routine"
610,"90","20130207","routine"
610,"72","20111026","routine"
610,"92","20110427","routine"
615,"92","20130411","routine"
615,"81","20120919","routine"
615,"79","20120426","routine"
615,"98","20111004","routine"
615,"90","20110412","routine"
615,"83","20101013","routine"
615,"96","20100820","routine"
616,"98","20130320","routine"
616,"100","20120802","routine"
616,"100","20120117","routine"
616,"94","20110708","routine"
616,"88","20101115","routine"
619,"93","20130116","routine"
619,"85","20120604","routine"
619,"83","20111207","routine"
619,"85","20110607","routine"
625,"90","20130220","routine"
625,"90","20120411","routine"
625,"96","20110914","routine"
625,"96","20110407","routine"
625,"92","20101008","routine"
627,"100","20121029","routine"
627,"100","20120424","routine"
627,"100","20111018","routine"
627,"100","20110425","routine"
627,"100","20101122","routine"
628,"96","20130122","routine"
628,"91","20120725","routine"
628,"91","20120201","routine"
628,"89","20110728","routine"
628,"94","20110201","routine"
628,"94","20100810","routine"
631,"89","20130318","routine"
631,"89","20120924","routine"
631,"98","20120328","routine"
631,"91","20111005","routine"
631,"90","20110504","routine"
631,"96","20101105","routine"
631,"94","20100617","routine"
632,"91","20130422","routine"
632,"88","20120927","routine"
632,"92","20120327","routine"
632,"90","20110926","routine"
632,"82","20110121","routine"
632,"83","20100914","routine"
634,"71","20130318","routine"
634,"65","20120911","routine"
634,"69","20120313","routine"
634,"69","20110830","routine"
634,"87","20110321","routine"
634,"84","20110121","routine"
634,"65","20100914","routine"
639,"92","20121114","routine"
639,"92","20120509","routine"
639,"96","20110923","routine"
639,"96","20110222","routine"
639,"90","20100809","routine"
642,"100","20130502","routine"
642,"100","20121017","routine"
642,"96","20120405","routine"
642,"96","20111018","routine"
642,"98","20110511","routine"
642,"98","20101123","routine"
642,"96","20100706","routine"
645,"98","20121128","routine"
645,"98","20120515","routine"
645,"98","20111109","routine"
645,"96","20110616","routine"
645,"96","20110113","routine"
645,"93","20100720","routine"
651,"75","20130107","routine"
651,"80","20120523","routine"
651,"90","20111110","routine"
651,"90","20110616","routine"
651,"90","20110120","routine"
651,"92","20100804","routine"
657,"79","20121126","routine"
657,"87","20120509","routine"
657,"90","20111031","routine"
657,"92","20110601","routine"
657,"92","20101209","routine"
657,"68","20100615","routine"
659,"89","20121227","routine"
659,"88","20120530","routine"
659,"92","20111114","routine"
